,summary,Verkehrswende,Klimawandel,Landwirtschaft,Waermewende,Energiewende,Gesundheit,Wasserversorgung,Industrie,Klimaextreme,Urbane_Hitzeinsel,Geo_Engineering,Tipping_Points,Oekologie,word
thema der,2.9291085504110024,-0.0016354368025071858,-0.027679339079415433,0.01234866263035684,0.03744473814977838,0.0,-0.016389741994097685,0.012136494554507927,-0.036103199961967695,0.01234866263035684,0.03060709361207853,0.003896274497872086,0.0,0.01234866263035684,thema der
Umverteilung,2.9130939323728686,-0.00868692798038044,-0.022196934730166148,0.017831066979605847,0.04292714249902744,0.0,-0.010907337644848525,0.017618898903757344,-0.03062079561271834,0.017831066979605847,0.03608949796132762,0.009378678847121333,0.0,0.017831066979605847,Umverteilung
der umverteilung,2.9130939323728686,-0.00868692798038044,-0.022196934730166148,0.017831066979605847,0.04292714249902744,0.0,-0.010907337644848525,0.017618898903757344,-0.03062079561271834,0.017831066979605847,0.03608949796132762,0.009378678847121333,0.0,0.017831066979605847,der umverteilung
Gütern,3.117078241685741,0.07261609311819572,-0.08987731341973443,-0.0498493117099622,-0.02475323619054048,0.0,-0.07858771633441664,-0.05006147978581096,-0.0983011743022865,-0.0498493117099622,-0.03159088072824042,-0.05830169984244678,0.0,-0.0498493117099622,Gütern
umverteilung gut+ern,2.860682062072935,-0.03268591533624926,-0.004041290991480299,0.0359867107182917,0.0610827862377135,0.0,0.007248306093837181,0.035774542642442994,-0.012465151874032573,0.0359867107182917,0.05424514170001371,0.027534322585806986,0.0,0.0359867107182917,umverteilung gut+ern
Donau,2.827860727410661,-0.04847884065239098,0.0074982895614876775,0.047526291271259784,0.07262236679068139,0.0,0.01878788664680534,0.047314123195411124,-0.0009255713210647236,0.047526291271259784,0.06578472225298154,0.03907390313877511,0.0,0.047526291271259784,Donau
gut+ern donau,2.827860727410661,-0.04847884065239098,0.0074982895614876775,0.047526291271259784,0.07262236679068139,0.0,0.01878788664680534,0.047314123195411124,-0.0009255713210647236,0.047526291271259784,0.06578472225298154,0.03907390313877511,0.0,0.047526291271259784,gut+ern donau
Schienen,3.6020694721628157,0.2125041802489225,-0.23448974502575706,-0.19446174331598493,-0.16936566779656329,0.0,-0.2232001479404394,-0.19467391139183374,-0.24291360590830946,-0.19446174331598493,-0.1762033123342631,-0.2029141314484696,0.0,-0.19446174331598493,Schienen
donau schiene+n,2.8103444522212735,-0.057163976894505315,0.013711731955060221,0.05373973366483214,0.0788358091842539,0.0,0.025001329040377766,0.053527565588983465,0.005287871072507719,0.05373973366483214,0.07199816464655408,0.04528734553234756,0.0,0.05373973366483214,donau schiene+n
Straßen,4.016772883201641,0.29557879142162663,-0.3434600262195775,-0.3034320245098053,-0.2783359489903837,0.0,-0.3321704291342598,-0.30364419258565406,-0.35188388710212987,-0.3034320245098053,-0.28517359352808364,-0.31188441264229,0.0,-0.3034320245098053,Straßen
schiene+n straße+n,2.7912415353261224,-0.06684862344190257,0.020532297056934365,0.06056029876670663,0.08565637428612838,0.0,0.031821894142252255,0.06034813069085796,0.012108436174382294,0.06056029876670663,0.07881872974842834,0.052107910634222064,0.0,0.06056029876670663,schiene+n straße+n
funktioniere,2.781085072726256,-0.07209083286624113,0.024177623169771154,0.06420562487954336,0.08930170039896487,0.0,0.035467220255088756,0.06399345680369456,0.01575376228721884,0.06420562487954336,0.0824640558612651,0.05575323674705853,0.0,0.06420562487954336,funktioniere
straße+n funktionier+e,2.781085072726256,-0.07209083286624113,0.024177623169771154,0.06420562487954336,0.08930170039896487,0.0,0.035467220255088756,0.06399345680369456,0.01575376228721884,0.06420562487954336,0.0824640558612651,0.05575323674705853,0.0,0.06420562487954336,straße+n funktionier+e
funktionier+e österreich,3.1723287051436397,0.09185158984442277,-0.10744713684819132,-0.06741913513841916,-0.04232305961899757,0.0,-0.0961575397628736,-0.06763130321426798,-0.11587099773074347,-0.06741913513841916,-0.04916070415669734,-0.07587152327090384,0.0,-0.06741913513841916,funktionier+e österreich
gut,2.748918322178963,-0.08913791146336293,0.03581129173838777,0.07583929344815982,0.10093536896758161,0.0,0.047100888823705486,0.07562712537231124,0.027387430855835657,0.07583929344815982,0.09409772442988182,0.06738690531567533,0.0,0.07583929344815982,gut
österreich gut,2.748918322178963,-0.08913791146336293,0.03581129173838777,0.07583929344815982,0.10093536896758161,0.0,0.047100888823705486,0.07562712537231124,0.027387430855835657,0.07583929344815982,0.09409772442988182,0.06738690531567533,0.0,0.07583929344815982,österreich gut
heißt,2.7464301747811612,-0.09048552129385626,0.0367168385182524,0.07674484022802461,0.10184091574744611,0.0,0.048006435603570076,0.07653267215217582,0.028292977635700097,0.07674484022802461,0.09500327120974653,0.0682924520955398,0.0,0.07674484022802461,heißt
